,,game_id,game_no,opp,play_type,play_direction,yards_gained
TEN,58,2019102008,7,LAC,short pass,middle,132
TEN,59,2019102008,7,LAC,short pass,right,73
TEN,60,2019102008,7,LAC,long pass,left,16
TEN,61,2019102008,7,LAC,long pass,middle,0
TEN,62,2019102008,7,LAC,long pass,right,24
TEN,63,2019102708,8,TB,run,left,5
TEN,64,2019102708,8,TB,run,middle,9
TEN,65,2019102708,8,TB,run,right,60
TEN,66,2019102708,8,TB,short pass,left,67
TEN,67,2019102708,8,TB,short pass,middle,28
TEN,68,2019102708,8,TB,short pass,right,52
TEN,69,2019102708,8,TB,long pass,left,0
TEN,70,2019102708,8,TB,long pass,middle,20
TEN,71,2019102708,8,TB,long pass,right,26
TEN,72,2019110302,9,CAR,run,left,52
TEN,73,2019110302,9,CAR,run,middle,49
TEN,74,2019110302,9,CAR,run,right,20
TEN,75,2019110302,9,CAR,short pass,left,82
TEN,76,2019110302,9,CAR,short pass,middle,55
TEN,77,2019110302,9,CAR,short pass,right,143
TEN,78,2019110302,9,CAR,long pass,left,0
TEN,79,2019110302,9,CAR,long pass,middle,0
TEN,80,2019110302,9,CAR,long pass,right,51
TEN,81,2019111007,10,KC,run,left,65
TEN,82,2019111007,10,KC,run,middle,143
TEN,83,2019111007,10,KC,run,right,17
TEN,84,2019111007,10,KC,short pass,left,26
TEN,85,2019111007,10,KC,short pass,middle,10
TEN,86,2019111007,10,KC,short pass,right,30
TEN,87,2019111007,10,KC,long pass,left,20
TEN,88,2019111007,10,KC,long pass,middle,75
TEN,89,2019111007,10,KC,long pass,right,20
TEN,90,2019112408,11,JAX,run,left,106
TEN,91,2019112408,11,JAX,run,middle,26
TEN,92,2019112408,11,JAX,run,right,91
TEN,93,2019112408,11,JAX,short pass,left,74
TEN,94,2019112408,11,JAX,short pass,middle,109
TEN,95,2019112408,11,JAX,short pass,right,40
TEN,96,2019112408,11,JAX,long pass,left,0
TEN,97,2019112408,11,JAX,long pass,middle,0
TEN,98,2019112408,11,JAX,long pass,right,36
TEN,99,2019120103,12,IND,run,left,55
TEN,100,2019120103,12,IND,run,middle,20
TEN,101,2019120103,12,IND,run,right,82
TEN,102,2019120103,12,IND,short pass,left,52
TEN,103,2019120103,12,IND,short pass,middle,32
TEN,104,2019120103,12,IND,short pass,right,42
TEN,105,2019120103,12,IND,long pass,left,56
TEN,106,2019120103,12,IND,long pass,middle,0
TEN,107,2019120103,12,IND,long pass,right,0
TEN,108,2019120812,13,OAK,run,left,83
